hh_type,hh_id
Other,HHA10_10221
Live alone,HHA10_10222
Couple with no children,HHA10_10223
Live alone,HHA10_10224
Lone parent with independent children only,HHA10_10225
Live alone,HHA10_10228
Other,HHA10_10229
Two or more non-family adults,HHA10_10230
Couple with no children,HHA10_10234
Couple with dependent children,HHA10_10235
Lone parent with independent children only,HHA10_10236
Couple with dependent children,HHA10_10237
Couple with independent children only,HHA10_10238
Live alone,HHA10_10240
Live alone,HHA10_10241
Lone parent with independent children only,HHA10_10242
Couple with independent children only,HHA10_10243
Couple with no children,HHA10_10245
Couple with dependent children,HHA10_10246
Couple with independent children only,HHA10_10249
Lone parent with independent children only,HHA10_10252
Households containing two or more families,HHA10_10253
Couple with no children,HHA10_10254
Couple with independent children only,HHA10_10255
Couple with independent children only,HHA10_10256
Couple with dependent children,HHA10_10260
Couple with no children,HHA10_10262
Couple with no children,HHA10_10263
Live alone,HHA10_10264
Live alone,HHA10_10265
Live alone,HHA10_10267
Couple with dependent children,HHA10_10268
Couple with no children,HHA10_10269
Live alone,HHA10_10270
Live alone,HHA10_10272
Couple with no children,HHA10_10273
Couple with independent children only,HHA10_10275
Live alone,HHA10_10276
Couple with dependent children,HHA10_10277
Couple with dependent children,HHA10_10279
Live alone,HHA10_10281
Couple with dependent children,HHA10_10283
Couple with independent children only,HHA10_10284
Lone parent with dependent children,HHA10_10285
Other,HHA10_10286
Couple with independent children only,HHA10_10287
Other,HHA10_10288
Live alone,HHA10_10290
Couple with no children,HHA10_10291
Live alone,HHA10_10292
Couple with dependent children,HHA10_10293
Couple with no children,HHA10_10294
Couple with no children,HHA10_10295
Live alone,HHA10_10296
Live alone,HHA10_10298
Couple with dependent children,HHA10_10301
Other,HHA10_10302
Live alone,HHA10_10307
Couple with no children,HHA10_10308
Couple with no children,HHA10_10309
Couple with dependent children,HHA10_10310
Couple with no children,HHA10_10311
Other,HHA10_10312
Couple with no children,HHA10_10313
Couple with independent children only,HHA10_10314
Live alone,HHA10_10315
Couple with no children,HHA10_10316
Couple with no children,HHA10_10317
Couple with dependent children,HHA10_10318
Couple with independent children only,HHA10_10319
Couple with dependent children,HHA10_10320
Live alone,HHA10_10322
Live alone,HHA10_10324
Live alone,HHA10_10328
Couple with no children,HHA10_10330
Couple with independent children only,HHA10_10331
Couple with no children,HHA10_10332
Live alone,HHA10_10333
Live alone,HHA10_10334
Couple with dependent children,HHA10_10336
Couple with dependent children,HHA10_10338
Other,HHA10_10339
Couple with dependent children,HHA10_10340
Other,HHA10_10341
Live alone,HHA10_10342
Couple with no children,HHA10_10345
Couple with no children,HHA10_10346
Couple with dependent children,HHA10_10347
Live alone,HHA10_10348
Couple with independent children only,HHA10_10349
Couple with no children,HHA10_10351
Couple with independent children only,HHA10_10352
Other,HHA10_10354
Couple with dependent children,HHA10_10355
Couple with dependent children,HHA10_10356
Other,HHA10_10357
Couple with independent children only,HHA10_10359
Live alone,HHA10_10361
Live alone,HHA10_10362
Other,HHA10_10364
Couple with dependent children,HHA10_10365
Couple with dependent children,HHA10_10366
Couple with no children,HHA10_10368
Couple with independent children only,HHA10_10369
Couple with independent children only,HHA10_10370
Couple with independent children only,HHA10_10371
Couple with dependent children,HHA10_10372
Couple with no children,HHA10_10373
Live alone,HHA10_10374
Couple with independent children only,HHA10_10375
Live alone,HHA10_10376
Live alone,HHA10_10377
Couple with dependent children,HHA10_10378
Couple with no children,HHA10_10379
Couple with independent children only,HHA10_10380
Couple with dependent children,HHA10_10381
Couple with dependent children,HHA10_10382
Couple with no children,HHA10_10384
Couple with no children,HHA10_10385
Two or more non-family adults,HHA10_10386
Lone parent with dependent children,HHA10_10387
Couple with dependent children,HHA10_10389
Other,HHA10_10390
Couple with dependent children,HHA10_10393
Couple with no children,HHA10_10394
Live alone,HHA10_10396
Two or more non-family adults,HHA10_10397
Couple with no children,HHA10_10401
Couple with no children,HHA10_10403
Lone parent with independent children only,HHA10_10404
Couple with no children,HHA10_10406
Couple with independent children only,HHA10_10407
Other,HHA10_10409
Couple with no children,HHA10_10411
Couple with dependent children,HHA10_10412
Couple with dependent children,HHA10_10413
Other,HHA10_10414
Couple with no children,HHA10_10415
Live alone,HHA10_10416
Live alone,HHA10_10418
Couple with dependent children,HHA10_10420
Couple with no children,HHA10_10422
Couple with no children,HHA10_10423
Couple with no children,HHA10_10424
Live alone,HHA10_10425
Two or more non-family adults,HHA10_10426
Other,HHA10_10427
Live alone,HHA10_10428
Couple with no children,HHA10_10429
Couple with no children,HHA10_10430
Couple with dependent children,HHA10_10432
Couple with dependent children,HHA10_10433
Couple with dependent children,HHA10_10435
Couple with no children,HHA10_10436
Couple with dependent children,HHA10_10437
Two or more non-family adults,HHA10_10439
Couple with no children,HHA10_10440
Couple with no children,HHA10_10441
Couple with dependent children,HHA10_10442
Couple with no children,HHA10_10444
Live alone,HHA10_10445
Couple with no children,HHA10_10446
Other,HHA10_10449
Couple with no children,HHA10_10451
Couple with no children,HHA10_10452
Live alone,HHA10_10453
Other,HHA10_10456
Couple with dependent children,HHA10_10457
Live alone,HHA10_10458
Live alone,HHA10_10459
Two or more non-family adults,HHA10_10460
Couple with dependent children,HHA10_10463
Lone parent with independent children only,HHA10_10465
Lone parent with independent children only,HHA10_10466
Live alone,HHA10_10469
Couple with independent children only,HHA10_10470
Live alone,HHA10_10471
Couple with dependent children,HHA10_10472
Couple with no children,HHA10_10473
Couple with no children,HHA10_10474
Other,HHA10_10477
Couple with independent children only,HHA10_10480
Couple with no children,HHA10_10481
Couple with no children,HHA10_10482
Couple with independent children only,HHA10_10483
Live alone,HHA10_10484
Other,HHA10_10486
Couple with no children,HHA10_10489
Couple with independent children only,HHA10_10490
Two or more non-family adults,HHA10_10491
Two or more non-family adults,HHA10_10492
Couple with independent children only,HHA10_10493
Couple with dependent children,HHA10_10494
Live alone,HHA10_10495
Other,HHA10_10496
Couple with dependent children,HHA10_10499
Couple with independent children only,HHA10_10502
Live alone,HHA10_10503
Couple with no children,HHA10_10504
Two or more non-family adults,HHA10_10506
Couple with independent children only,HHA10_10507
Other,HHA10_10508
Other,HHA10_10510
Couple with dependent children,HHA10_10514
Couple with dependent children,HHA10_10517
Live alone,HHA10_10519
Couple with independent children only,HHA10_10520
Couple with dependent children,HHA10_10521
Other,HHA10_10522
Couple with no children,HHA10_10524
Couple with dependent children,HHA10_10527
Couple with independent children only,HHA10_10530
Couple with dependent children,HHA10_10531
Couple with no children,HHA10_10532
Live alone,HHA10_10537
Couple with independent children only,HHA10_10538
Couple with no children,HHA10_10539
Lone parent with dependent children,HHA10_10541
Other,HHA10_10542
Other,HHA10_10545
Live alone,HHA10_10546
Couple with dependent children,HHA10_10547
Couple with no children,HHA10_10548
Couple with no children,HHA10_10550
Other,HHA10_10551
Couple with no children,HHA10_10557
Couple with independent children only,HHA10_10558
Live alone,HHA10_10562
Other,HHA10_10563
Couple with no children,HHA10_10566
Lone parent with dependent children,HHA10_10567
Couple with independent children only,HHA10_10572
Lone parent with dependent children,HHA10_10575
Couple with dependent children,HHA10_10576
Couple with dependent children,HHA10_10577
Couple with no children,HHA10_10580
Couple with no children,HHA10_10581
Live alone,HHA10_10583
Couple with no children,HHA10_10586
Couple with no children,HHA10_10587
Live alone,HHA10_10589
Couple with dependent children,HHA10_10594
Couple with no children,HHA10_10596
Live alone,HHA10_10599
Couple with no children,HHA10_10600
Couple with dependent children,HHA10_10605
Couple with independent children only,HHA10_10606
Live alone,HHA10_10607
Lone parent with dependent children,HHA10_10608
Couple with no children,HHA10_10610
Couple with no children,HHA10_10612
Live alone,HHA10_10617
Live alone,HHA10_10618
Other,HHA10_10620
Live alone,HHA10_10622
Households containing two or more families,HHA10_10629
Live alone,HHA10_10630
Couple with independent children only,HHA10_10632
Couple with dependent children,HHA10_10636
Live alone,HHA10_10637
Couple with dependent children,HHA10_10640
Couple with independent children only,HHA10_10641
Couple with dependent children,HHA10_10642
Lone parent with dependent children,HHA10_10658
Live alone,HHA10_10664
Lone parent with independent children only,HHA10_10668
Couple with no children,HHA10_10672
Couple with independent children only,HHA10_10675
Couple with no children,HHA10_10676
Live alone,HHA10_10677
Other,HHA10_10678
Couple with no children,HHA10_10679
Couple with no children,HHA10_10680
Couple with no children,HHA10_10681
Lone parent with independent children only,HHA10_10682
Live alone,HHA10_10683
Couple with independent children only,HHA10_10684
Couple with independent children only,HHA10_10686
Couple with independent children only,HHA10_10688
Live alone,HHA10_10689
Couple with independent children only,HHA10_10690
Couple with independent children only,HHA10_10691
Couple with independent children only,HHA10_10692
Couple with dependent children,HHA10_10693
Couple with dependent children,HHA10_10694
Live alone,HHA10_10696
Couple with dependent children,HHA10_10697
Couple with no children,HHA10_10700
Couple with dependent children,HHA10_10701
Couple with no children,HHA10_10702
Couple with independent children only,HHA10_10703
Live alone,HHA10_10704
Lone parent with independent children only,HHA10_10707
Couple with independent children only,HHA10_10708
Other,HHA10_10709
Live alone,HHA10_10710
Couple with independent children only,HHA10_10711
Couple with independent children only,HHA10_10712
Couple with no children,HHA10_10713
Couple with dependent children,HHA10_10714
Other,HHA10_10716
Couple with independent children only,HHA10_10717
Live alone,HHA10_10718
Other,HHA10_10720
Couple with dependent children,HHA10_10721
Couple with independent children only,HHA10_10722
Couple with no children,HHA10_10723
Live alone,HHA10_10726
Couple with independent children only,HHA10_10727
Couple with dependent children,HHA10_10728
Two or more non-family adults,HHA10_10729
Other,HHA10_10730
Couple with no children,HHA10_10731
Live alone,HHA10_10732
Couple with no children,HHA10_10733
Other,HHA10_10734
Live alone,HHA10_10736
Couple with no children,HHA10_10737
Lone parent with independent children only,HHA10_10738
Couple with independent children only,HHA10_10739
Couple with no children,HHA10_10740
Couple with dependent children,HHA10_10742
Live alone,HHA10_10744
Couple with no children,HHA10_10745
Live alone,HHA10_10746
Live alone,HHA10_10747
Couple with no children,HHA10_10748
Live alone,HHA10_10749
Lone parent with independent children only,HHA10_10750
Couple with dependent children,HHA10_10751
Live alone,HHA10_10753
Couple with dependent children,HHA10_10754
Live alone,HHA10_10756
Couple with no children,HHA10_10757
Couple with independent children only,HHA10_10758
Couple with independent children only,HHA10_10761
Couple with no children,HHA10_10762
Lone parent with independent children only,HHA10_10763
Live alone,HHA10_10764
Two or more non-family adults,HHA10_10765
Couple with no children,HHA10_10766
Lone parent with independent children only,HHA10_10767
Couple with no children,HHA10_10768
Live alone,HHA10_10770
Live alone,HHA10_10771
Couple with dependent children,HHA10_10772
Couple with dependent children,HHA10_10773
Couple with independent children only,HHA10_10774
Couple with no children,HHA10_10775
Couple with independent children only,HHA10_10776
Couple with no children,HHA10_10777
Two or more non-family adults,HHA10_10778
Two or more non-family adults,HHA10_10779
Couple with independent children only,HHA10_10781
Couple with independent children only,HHA10_10783
Couple with no children,HHA10_10784
Couple with independent children only,HHA10_10786
Live alone,HHA10_10787
Couple with dependent children,HHA10_10790
Couple with dependent children,HHA10_10791
Couple with no children,HHA10_10792
Couple with dependent children,HHA10_10794
Couple with dependent children,HHA10_10795
Two or more non-family adults,HHA10_10796
Couple with independent children only,HHA10_10797
Live alone,HHA10_10799
Live alone,HHA10_10801
Other,HHA10_10802
Two or more non-family adults,HHA10_10803
Couple with independent children only,HHA10_10805
Couple with independent children only,HHA10_10806
Other,HHA10_10807
Other,HHA10_10808
Live alone,HHA10_10809
Couple with dependent children,HHA10_10810
Couple with no children,HHA10_10811
Couple with no children,HHA10_10812
Couple with no children,HHA10_10813
Two or more non-family adults,HHA10_10815
Two or more non-family adults,HHA10_10818
Other,HHA10_10819
Couple with dependent children,HHA10_10822
Couple with no children,HHA10_10823
Couple with no children,HHA10_10824
Couple with no children,HHA10_10825
Couple with independent children only,HHA10_10826
Couple with no children,HHA10_10829
Two or more non-family adults,HHA10_10830
Couple with independent children only,HHA10_10831
Lone parent with independent children only,HHA10_10832
Couple with independent children only,HHA10_10833
Couple with dependent children,HHA10_10834
Live alone,HHA10_10835
Couple with independent children only,HHA10_10836
Live alone,HHA10_10838
Couple with independent children only,HHA10_10839
Couple with dependent children,HHA10_10841
Live alone,HHA10_10842
Couple with dependent children,HHA10_10843
Couple with no children,HHA10_10844
Two or more non-family adults,HHA10_10845
Couple with independent children only,HHA10_10846
Live alone,HHA10_10848
Couple with independent children only,HHA10_10850
Households containing two or more families,HHA10_10851
Couple with dependent children,HHA10_10853
Live alone,HHA10_10854
Couple with independent children only,HHA10_10855
Couple with no children,HHA10_10856
Couple with dependent children,HHA10_10859
Live alone,HHA10_10860
Couple with no children,HHA10_10861
Other,HHA10_10862
Couple with no children,HHA10_10863
Couple with dependent children,HHA10_10866
Live alone,HHA10_10868
Live alone,HHA10_10870
Households containing two or more families,HHA10_10871
Couple with no children,HHA10_10872
Lone parent with dependent children,HHA10_10873
Couple with no children,HHA10_10875
Couple with dependent children,HHA10_10876
Couple with dependent children,HHA10_10878
Live alone,HHA10_10879
Couple with independent children only,HHA10_10880
Live alone,HHA10_10881
Live alone,HHA10_10882
Couple with dependent children,HHA10_10883
Couple with dependent children,HHA10_10884
Couple with dependent children,HHA10_10886
Couple with independent children only,HHA10_10887
Couple with no children,HHA10_10888
Live alone,HHA10_10889
Couple with independent children only,HHA10_10890
Couple with independent children only,HHA10_10891
Couple with independent children only,HHA10_10892
Households containing two or more families,HHA10_10893
Couple with dependent children,HHA10_10894
Other,HHA10_10895
Couple with dependent children,HHA10_10896
Couple with dependent children,HHA10_10897
Couple with independent children only,HHA10_10898
Couple with dependent children,HHA10_10901
Other,HHA10_10906
Live alone,HHA10_10907
Couple with no children,HHA10_10908
Couple with independent children only,HHA10_10909
Couple with dependent children,HHA10_10910
Couple with dependent children,HHA10_10911
Couple with no children,HHA10_10913
Couple with no children,HHA10_10915
Two or more non-family adults,HHA10_10916
Couple with independent children only,HHA10_10918
Live alone,HHA10_10919
Couple with no children,HHA10_10920
Couple with no children,HHA10_10922
Couple with independent children only,HHA10_10923
Couple with dependent children,HHA10_10924
Couple with no children,HHA10_10925
Couple with independent children only,HHA10_10926
Couple with independent children only,HHA10_10928
Couple with independent children only,HHA10_10929
Couple with independent children only,HHA10_10931
Live alone,HHA10_10933
Couple with dependent children,HHA10_10934
Couple with independent children only,HHA10_10935
Couple with independent children only,HHA10_10936
Live alone,HHA10_10937
Lone parent with independent children only,HHA10_10938
Couple with no children,HHA10_10939
Lone parent with dependent children,HHA10_10940
Couple with no children,HHA10_10944
Two or more non-family adults,HHA10_10946
Other,HHA10_10947
Couple with no children,HHA10_10948
Couple with independent children only,HHA10_10949
Couple with dependent children,HHA10_10950
Couple with dependent children,HHA10_10951
Lone parent with dependent children,HHA10_10952
Couple with dependent children,HHA10_10954
Lone parent with independent children only,HHA10_10957
Couple with no children,HHA10_10958
Couple with independent children only,HHA10_10965
Couple with no children,HHA10_10966
Couple with dependent children,HHA10_10969
Couple with dependent children,HHA10_10970
Couple with dependent children,HHA10_10971
Couple with dependent children,HHA10_10972
Two or more non-family adults,HHA10_10974
Couple with dependent children,HHA10_10975
Couple with dependent children,HHA10_10977
Other,HHA10_10978
Couple with independent children only,HHA10_10979
Other,HHA10_10980
Couple with no children,HHA10_10981
Households containing two or more families,HHA10_10984
Couple with independent children only,HHA10_10986
Couple with no children,HHA10_10987
Two or more non-family adults,HHA10_10988
Couple with dependent children,HHA10_10991
Couple with dependent children,HHA10_10992
Two or more non-family adults,HHA10_10993
Couple with no children,HHA10_10995
Live alone,HHA10_10997
Lone parent with dependent children,HHA10_10998
Couple with dependent children,HHA10_10999
Couple with dependent children,HHA10_11000
Live alone,HHA10_11001
Couple with independent children only,HHA10_11005
Couple with dependent children,HHA10_11006
Couple with dependent children,HHA10_11007
Couple with independent children only,HHA10_11008
Couple with no children,HHA10_11009
Couple with no children,HHA10_11010
Live alone,HHA10_11011
Couple with independent children only,HHA10_11012
Couple with no children,HHA10_11013
Couple with no children,HHA10_11016
Couple with no children,HHA10_11017
Live alone,HHA10_11018
Couple with independent children only,HHA10_11019
Couple with dependent children,HHA10_11020
Couple with independent children only,HHA10_11021
Live alone,HHA10_11023
Live alone,HHA10_11024
Lone parent with independent children only,HHA10_11025
Couple with dependent children,HHA10_11026
Couple with independent children only,HHA10_11027
Couple with no children,HHA10_11028
Couple with independent children only,HHA10_11031
Couple with dependent children,HHA10_11033
Other,HHA10_11037
Live alone,HHA10_11038
Lone parent with independent children only,HHA10_11040
Live alone,HHA10_11041
Live alone,HHA10_11042
Two or more non-family adults,HHA10_11043
Two or more non-family adults,HHA10_11045
Households containing two or more families,HHA10_11046
Couple with no children,HHA10_11049
Live alone,HHA10_11051
Live alone,HHA10_11053
Live alone,HHA10_11054
Couple with dependent children,HHA10_11056
Two or more non-family adults,HHA10_11057
Couple with no children,HHA10_11059
Two or more non-family adults,HHA10_11062
Couple with dependent children,HHA10_11063
Couple with no children,HHA10_11064
Couple with dependent children,HHA10_11066
Couple with independent children only,HHA10_11068
Couple with no children,HHA10_11070
Couple with dependent children,HHA10_11071
Other,HHA10_11073
Lone parent with dependent children,HHA10_11078
Couple with no children,HHA10_11081
Two or more non-family adults,HHA10_11084
Households containing two or more families,HHA10_11085
Lone parent with independent children only,HHA10_11087
Couple with dependent children,HHA10_11088
Couple with independent children only,HHA10_11091
Couple with dependent children,HHA10_11095
Couple with independent children only,HHA10_11097
Live alone,HHA10_11099
Couple with independent children only,HHA10_11100
Two or more non-family adults,HHA10_11102
Live alone,HHA10_11103
Live alone,HHA10_11106
Couple with no children,HHA10_11108
Other,HHA10_11112
Live alone,HHA10_11115
Couple with dependent children,HHA10_11121
Couple with no children,HHA10_11124
Live alone,HHA10_11125
Couple with independent children only,HHA10_11126
Couple with dependent children,HHA10_11128
Other,HHA10_11130
Couple with no children,HHA10_11131
Live alone,HHA10_11132
Two or more non-family adults,HHA10_11133
Live alone,HHA10_11140
Couple with dependent children,HHA10_11141
Lone parent with dependent children,HHA10_11142
Couple with independent children only,HHA10_11145
Live alone,HHA10_11147
Couple with dependent children,HHA10_11149
Lone parent with dependent children,HHA10_11153
Couple with no children,HHA10_11154
Couple with dependent children,HHA10_11156
Live alone,HHA10_11157
Couple with dependent children,HHA10_11158
Couple with no children,HHA10_11161
Couple with dependent children,HHA10_11163
Live alone,HHA10_11168
Couple with independent children only,HHA10_11173
Two or more non-family adults,HHA10_11174
Couple with independent children only,HHA10_11186
Couple with no children,HHA10_11188
Live alone,HHA10_11194
Couple with dependent children,HHA10_11198
Couple with dependent children,HHA10_11201
Live alone,HHA10_11203
Couple with no children,HHA10_11216
Couple with independent children only,HHA10_11217
Live alone,HHA10_11218
Couple with no children,HHA10_11219
Live alone,HHA10_11221
Couple with no children,HHA10_11222
Live alone,HHA10_11223
Couple with no children,HHA10_11224
Couple with no children,HHA10_11225
Couple with independent children only,HHA10_11226
Live alone,HHA10_11227
Couple with independent children only,HHA10_11228
Couple with dependent children,HHA10_11229
Couple with dependent children,HHA10_11230
Couple with independent children only,HHA10_11232
Couple with independent children only,HHA10_11233
Couple with dependent children,HHA10_11236
Couple with independent children only,HHA10_11237
Live alone,HHA10_11238
Couple with no children,HHA10_11240
Live alone,HHA10_11241
Live alone,HHA10_11242
Couple with no children,HHA10_11243
Couple with no children,HHA10_11244
Live alone,HHA10_11245
Couple with no children,HHA10_11246
Couple with independent children only,HHA10_11248
Live alone,HHA10_11249
Other,HHA10_11250
Couple with independent children only,HHA10_11252
Couple with independent children only,HHA10_11253
Live alone,HHA10_11254
Couple with dependent children,HHA10_11255
Couple with independent children only,HHA10_11256
Couple with no children,HHA10_11257
Live alone,HHA10_11258
Live alone,HHA10_11259
Couple with no children,HHA10_11260
Couple with no children,HHA10_11261
Lone parent with dependent children,HHA10_11262
Live alone,HHA10_11263
Couple with independent children only,HHA10_11264
Live alone,HHA10_11265
Couple with dependent children,HHA10_11266
Live alone,HHA10_11267
Couple with no children,HHA10_11268
Couple with dependent children,HHA10_11269
Couple with dependent children,HHA10_11270
Other,HHA10_11271
Live alone,HHA10_11272
Couple with independent children only,HHA10_11274
Other,HHA10_11275
Live alone,HHA10_11276
Couple with independent children only,HHA10_11277
Couple with no children,HHA10_11278
Couple with independent children only,HHA10_11279
Couple with independent children only,HHA10_11280
Live alone,HHA10_11281
Live alone,HHA10_11282
Live alone,HHA10_11283
Couple with independent children only,HHA10_11284
Couple with no children,HHA10_11285
Live alone,HHA10_11286
Live alone,HHA10_11287
Couple with dependent children,HHA10_11289
Couple with independent children only,HHA10_11292
Couple with no children,HHA10_11294
Couple with no children,HHA10_11295
Live alone,HHA10_11296
Couple with independent children only,HHA10_11297
Live alone,HHA10_11299
Lone parent with independent children only,HHA10_11300
Two or more non-family adults,HHA10_11301
Lone parent with dependent children,HHA10_11302
Lone parent with independent children only,HHA10_11303
Live alone,HHA10_11304
Couple with dependent children,HHA10_11305
Live alone,HHA10_11307
Couple with independent children only,HHA10_11308
Couple with independent children only,HHA10_11309
Couple with independent children only,HHA10_11310
Couple with independent children only,HHA10_11311
Couple with dependent children,HHA10_11312
Couple with no children,HHA10_11313
Couple with independent children only,HHA10_11314
Couple with no children,HHA10_11315
Couple with independent children only,HHA10_11316
Couple with independent children only,HHA10_11317
Live alone,HHA10_11318
Couple with no children,HHA10_11319
Live alone,HHA10_11320
Couple with no children,HHA10_11321
Couple with dependent children,HHA10_11322
Couple with independent children only,HHA10_11323
Live alone,HHA10_11325
Couple with no children,HHA10_11326
Couple with no children,HHA10_11327
Couple with independent children only,HHA10_11328
Couple with no children,HHA10_11329
Two or more non-family adults,HHA10_11330
Couple with no children,HHA10_11331
Live alone,HHA10_11332
Couple with independent children only,HHA10_11333
Live alone,HHA10_11334
Couple with independent children only,HHA10_11335
Other,HHA10_11336
Couple with dependent children,HHA10_11337
Couple with no children,HHA10_11338
Live alone,HHA10_11339
Live alone,HHA10_11340
Couple with no children,HHA10_11341
Couple with no children,HHA10_11343
Couple with no children,HHA10_11344
Couple with independent children only,HHA10_11346
Couple with independent children only,HHA10_11348
Couple with no children,HHA10_11350
Households containing two or more families,HHA10_11351
Couple with independent children only,HHA10_11352
Live alone,HHA10_11353
Couple with dependent children,HHA10_11354
Couple with independent children only,HHA10_11357
Two or more non-family adults,HHA10_11358
Live alone,HHA10_11359
